f1;f2;f3;f4;f5;f6;f7;f8;f9;
9.06275;0;-1;-1;0;0;-1;0;0;
12.2235;0.0645161;0.365079;0.714286;0.349206;6;31;0;0;
12.9294;0.0645161;0.365079;0.714286;0.349206;7;32;0;1;
14.8118;0.0967742;0;0.714286;0.714286;10;29;0;-3;
23.349;0.0645161;0;0.714286;0.714286;27;31;0;2;
28.6039;0.0645161;0;0.714286;0.714286;32;29;0;-2;
31.3059;0.0645161;0;0.714286;0.714286;34;28;0;-1;
32.4275;0.0645161;0;0.714286;0.714286;37;26;0;-2;
28.2392;0.0645161;0;0.698413;0.698413;37;25;0;-1;
14.9098;0.0967742;0;0.714286;0.714286;10;19;0;-6;
10.6431;0.0967742;0;0.714286;0.714286;6;18;0;-1;
10.3843;0.0967742;0;0.714286;0.714286;5;20;0;2;
9.5451;0.0967742;0;0.714286;0.714286;5;20;0;0;
8.4;0.0322581;0.0793651;0.0952381;0.015873;2;5;1;-15;
9.04314;0.0322581;0.0793651;0.0952381;0.015873;2;5;1;0;
9.59216;0.0322581;0.0634921;0.0952381;0.031746;3;5;0;0;
10.9765;0.0967742;0.0634921;0.698413;0.634921;6;17;0;12;
13.1961;0.0967742;0.0634921;0.714286;0.650794;9;22;1;5;
14.9059;0.0967742;0.0634921;0.714286;0.650794;12;21;1;-1;
20.6039;0.16129;0.0634921;0.698413;0.634921;19;25;1;4;
26.6549;0.0645161;0.0634921;0.698413;0.634921;29;27;0;2;
27.2196;0.0645161;0.0634921;0.698413;0.634921;30;27;0;0;
27.3255;0.0645161;0.0634921;0.698413;0.634921;31;27;0;0;
18.5137;0.129032;0.0793651;0.698413;0.619048;14;26;1;-1;
10.1373;0.0645161;0.0952381;0.698413;0.603175;5;21;0;-5;
7.75686;0.0322581;0.68254;0.714286;0.031746;3;44;0;23;
7.74118;0.0322581;0.698413;0.698413;0;1;44;1;0;
7.49412;0;-1;-1;0;0;-1;0;0;
7.97647;0;-1;-1;0;0;-1;0;0;
9.25098;0;-1;-1;0;0;-1;0;0;
13.8314;0.0967742;0.365079;0.714286;0.349206;11;33;0;0;
16.3882;0.129032;0.349206;0.714286;0.365079;15;33;1;0;
18.549;0.0967742;0.349206;0.714286;0.365079;18;33;1;0;
22.4902;0.0322581;0.333333;0.714286;0.380952;25;33;0;0;
24.1176;0.0322581;0.333333;0.714286;0.380952;25;33;0;0;
24.5529;0.0322581;0.31746;0.714286;0.396825;26;32;0;-1;
24.2706;0.0322581;0.31746;0.714286;0.396825;26;32;0;0;
21.4039;0.0322581;0.333333;0.714286;0.380952;25;33;0;1;
12.8431;0.0645161;0.365079;0.714286;0.349206;7;32;0;-1;
11.6588;0.129032;0.365079;0.714286;0.349206;6;33;0;1;
11.6392;0.0967742;0.349206;0.619048;0.269841;5;31;0;-2;
9.7451;0.0322581;0.349206;0.365079;0.015873;2;22;1;-9;
10.4118;0.0322581;0.333333;0.365079;0.031746;3;22;0;0;
10.5647;0.0322581;0.333333;0.365079;0.031746;3;22;0;0;
12.7804;0.0645161;0.333333;0.714286;0.380952;6;33;0;11;
13.2157;0.0645161;0.31746;0.714286;0.396825;9;31;0;-2;
13.5843;0.0645161;0.31746;0.714286;0.396825;10;30;0;-1;
18.1922;0.0967742;0.31746;0.714286;0.396825;14;30;1;0;
24.2588;0.0322581;0.31746;0.714286;0.396825;26;32;0;2;
24.4902;0.0322581;0.333333;0.714286;0.380952;25;33;0;1;
24.2314;0.0322581;0.333333;0.714286;0.380952;25;33;0;0;
23.4667;0.0322581;0.365079;0.714286;0.349206;23;34;0;1;
19.2588;0.0322581;0.380952;0.714286;0.333333;22;34;0;0;
11.3529;0.0645161;0.380952;0.714286;0.333333;6;37;0;3;
10.6824;0.0645161;0.365079;0.714286;0.349206;5;35;0;-2;
11.5373;0.0645161;0.349206;0.714286;0.365079;6;33;0;-2;
10.098;0.0322581;0.333333;0.380952;0.047619;4;22;0;-11;
10.4902;0.0322581;0.333333;0.380952;0.047619;4;22;0;0;
10.5725;0.0322581;0.31746;0.380952;0.0634921;5;22;0;0;
11.1137;0.0322581;0.31746;0.365079;0.047619;4;21;0;-1;
12.9176;0.0645161;0.31746;0.714286;0.396825;8;30;0;9;
14.3843;0.0645161;0.31746;0.730159;0.412698;9;32;0;2;
16.0314;0.0645161;0.31746;0.714286;0.396825;11;30;0;-2;
22.251;0.0645161;0.333333;0.714286;0.380952;24;32;0;2;
24.6157;0.0322581;0.349206;0.714286;0.365079;24;33;0;1;
23.8824;0.0322581;0.349206;0.698413;0.349206;23;33;0;0;
22.4745;0.0322581;0.365079;0.698413;0.333333;22;33;0;0;
20.6078;0.0322581;0.396825;0.714286;0.31746;21;35;0;2;
13.0392;0.0322581;0.666667;0.698413;0.031746;3;43;0;8;
6.85098;0;-1;-1;0;0;-1;0;0;
6.19216;0;-1;-1;0;0;-1;0;0;
6.27451;0;-1;-1;0;0;-1;0;0;
6.72157;0;-1;-1;0;0;-1;0;0;
8.37255;0.0322581;0.952381;0.968254;0.015873;2;60;1;0;
10.2353;0.0645161;0.365079;0.968254;0.603175;5;45;0;-15;
14.4784;0.0645161;0.349206;0.968254;0.619048;11;42;0;-3;
25.6706;0.0967742;0.333333;0.968254;0.634921;20;41;0;-1;
36.6118;0.0322581;0.333333;0.968254;0.634921;41;41;0;0;
37.851;0.0322581;0.31746;0.968254;0.650794;42;40;0;-1;
38.1294;0.0322581;0.31746;0.968254;0.650794;42;40;0;0;
35.3176;0.0322581;0.31746;0.968254;0.650794;42;40;0;0;
26.0824;0.0967742;0.349206;0.968254;0.619048;25;46;1;6;
16.5451;0.0967742;0.365079;0.968254;0.603175;11;46;0;0;
15.4196;0.0967742;0.349206;0.968254;0.619048;10;43;0;-3;
15.4549;0.0967742;0.333333;0.984127;0.650794;12;43;0;0;
14.3922;0.0967742;0.333333;0.968254;0.634921;10;42;1;-1;
13.1961;0.0967742;0.333333;0.968254;0.634921;9;40;0;-2;
11.5725;0.0645161;0.333333;0.698413;0.365079;6;32;0;-8;
11.4;0.0645161;0.333333;0.698413;0.365079;6;32;0;0;
11.898;0.0645161;0.333333;0.698413;0.365079;8;32;0;0;
12.7373;0.0645161;0.333333;0.698413;0.365079;10;32;0;0;
14.8471;0.0645161;0.333333;0.68254;0.349206;11;31;0;-1;
17.3137;0.0645161;0.349206;0.68254;0.333333;15;32;0;1;
20.4392;0.0322581;0.365079;0.666667;0.301587;20;32;0;0;
20.349;0.0322581;0.380952;0.650794;0.269841;18;32;0;0;
18.5569;0.0322581;0.380952;0.619048;0.238095;16;31;0;-1;
16.4118;0.0322581;0.396825;0.587302;0.190476;13;31;0;0;
13.0078;0.0322581;0.444444;0.555556;0.111111;8;31;0;0;
8.26275;0;-1;-1;0;0;-1;0;0;
7.30196;0;-1;-1;0;0;-1;0;0;
7.94118;0;-1;-1;0;0;-1;0;0;
9.23922;0.0322581;0.126984;0.142857;0.015873;2;8;1;0;
10.3412;0.0645161;0.111111;0.15873;0.047619;3;8;1;0;
11.4549;0.0645161;0.15873;0.730159;0.571429;5;31;0;23;
13.9725;0.0645161;0.15873;0.730159;0.571429;7;30;0;-1;
21.6196;0.0645161;0.15873;0.730159;0.571429;17;25;0;-5;
31.6863;0.0322581;0.142857;0.730159;0.587302;38;27;0;2;
34.5451;0.0322581;0.126984;0.714286;0.587302;38;26;0;-1;
34.9922;0.0322581;0.111111;0.714286;0.603175;39;26;0;0;
34.7569;0.0322581;0.0952381;0.714286;0.619048;40;25;0;-1;
18.9686;0.0645161;0.111111;0.714286;0.603175;8;26;0;1;
9.74118;0.0322581;0.68254;0.730159;0.047619;4;44;0;18;
9.44314;0.0322581;0.68254;0.730159;0.047619;4;44;0;0;
8.93333;0.0322581;0.698413;0.730159;0.031746;3;45;0;1;
7.74118;0;-1;-1;0;0;-1;0;0;
6.74118;0;-1;-1;0;0;-1;0;0;
7.98824;0;-1;-1;0;0;-1;0;0;
9.42353;0.0322581;0.47619;0.492063;0.015873;2;30;1;0;
13.5529;0.0322581;0.428571;0.571429;0.142857;10;31;0;1;
18.2275;0.0322581;0.412698;0.634921;0.222222;15;33;0;2;
20.2;0.0322581;0.380952;0.650794;0.269841;18;32;0;-1;
22.1765;0.0322581;0.365079;0.666667;0.301587;20;32;0;0;
22.7725;0.0322581;0.365079;0.68254;0.31746;21;33;0;1;
21.0235;0.0645161;0.349206;0.698413;0.349206;19;33;1;0;
21.051;0.0967742;0.333333;0.698413;0.365079;19;32;0;-1;
20.902;0.129032;0.333333;0.714286;0.380952;17;34;1;2;
19.349;0.129032;0.31746;0.714286;0.396825;14;33;0;-1;
16.6549;0.0967742;0.31746;0.714286;0.396825;11;34;0;1;
15.8588;0.0967742;0.31746;0.714286;0.396825;11;34;0;0;
15.5412;0.0967742;0.31746;0.714286;0.396825;9;34;0;0;
16.2667;0.0967742;0.31746;0.714286;0.396825;9;34;0;0;
